0020 - 007F   Basic Latin 
00A0 - 00FF   Latin-1 Supplement 
0100 - 017F   Latin Extended-A 
0180 - 024F   Latin Extended-B 
0370 - 03FF   Greek and Coptic 
0400 - 04FF   Cyrillic 
0500 - 052F   Cyrillic Supplementary 
1D00 - 1D7F   Phonetic Extensions 
1E00 - 1EFF   Latin Extended Additional 
1F00 - 1FFF   Greek Extended 
2000 - 206F   General Punctuation 
2070 - 209F   Superscripts and Subscripts 
20A0 - 20CF   Currency Symbols 
20D0 - 20FF   Combining Diacritical Marks for Symbols 
2100 - 214F   Letterlike Symbols 
2150 - 218F   Number Forms 
2190 - 21FF   Arrows 
2200 - 22FF   Mathematical Operators 
2300 - 23FF   Miscellaneous Technical 
2400 - 243F   Control Pictures 
2440 - 245F   Optical Character Recognition 
2460 - 24FF   Enclosed Alphanumerics 
2500 - 257F   Box Drawing 
2580 - 259F   Block Elements 
25A0 - 25FF   Geometric Shapes 
2600 - 26FF   Miscellaneous Symbols 
2700 - 27BF   Dingbats 
27C0 - 27EF   Miscellaneous Mathematical Symbols-A 
27F0 - 27FF   Supplemental Arrows-A 
2800 - 28FF   Braille Patterns 
2900 - 297F   Supplemental Arrows-B 
2980 - 29FF   Miscellaneous Mathematical Symbols-B 
2A00 - 2AFF   Supplemental Mathematical Operators 
2E80 - 2EFF   CJK Radicals Supplement 
2FF0 - 2FFF   Ideographic Description Characters 
3000 - 303F   CJK Symbols and Punctuation 
3200 - 32FF   Enclosed CJK Letters and Months 
3300 - 33FF   CJK Compatibility 
3400 - 4DBF   CJK Unified Ideographs Extension A 
4E00 - 9FFF   CJK Unified Ideographs 
F900 - FAFF   CJK Compatibility Ideographs 
FE30 - FE4F   CJK Compatibility Forms 
FE70 - FEFF   Arabic Presentation Forms-B 
FF00 - FFEF   Halfwidth and Fullwidth Forms 
10100 - 1013F   Aegean Numbers 
10300 - 1032F   Old Italic 
10330 - 1034F   Gothic 
10400 - 1044F   Deseret 
1D100 - 1D1FF   Musical Symbols 
1D400 - 1D7FF   Mathematical Alphanumeric Symbols 
20000 - 2A6DF   CJK Unified Ideographs Extension B 
2F800 - 2FA1F   CJK Compatibility Ideographs Supplement 
E0000 - E007F   Tags
